name,type
engineering management journal,0.548
engineering optimization,1.728
engineering structures,2.258
engineering studies,0.234
engineering with computers,0.765
english for specific purposes,1.311
english historical review,0.404
english in australia,0.396
english in education,0.231
english language & linguistics,0.658
english teaching-practice and critique,0.436
english today,0.294
english world-wide,1.143
ensenanza de las ciencias,0.549
ent-ear nose & throat journal,0.919
enterprise & society,0.593
enterprise information systems,1.908
entomologia experimentalis et applicata,1.162
entomologia generalis,0.4
entomologica americana,0.75
entomologica fennica,0.3
entomological news,0.226
entomological research,0.573
entomological science,1.262
entomotaxonomia,科技核心
entrepreneurship and regional development,1.776
entrepreneurship research journal,0.63
entrepreneurship theory and practice,4.916
entropy,1.821
environment,1.852
environment and behavior,3.378
environment and development economics,0.932
environment and history,0.659
environment and planning a,1.389
environment and planning b-planning & design,1.527
environment and planning c-government and policy,1.771
environment and planning d-society & space,2.031
environment and urbanization,1.986
environment international,7.088
environment protection engineering,0.514
environmental & engineering geoscience,0.739
environmental & resource economics,1.582
environmental and ecological statistics,0.688
environmental and experimental botany,4.369
environmental and molecular mutagenesis,3.575
environmental archaeology,1.288
environmental biology of fishes,1.255
environmental chemistry,3.516
environmental chemistry letters,3.594
environmental communication-a journal of nature and culture,1.414
environmental conservation,1.826
environmental earth sciences,1.569
environmental education research,1.709
environmental engineering and management journal,1.096
environmental engineering science,1.426
environmental entomology,1.601
environmental ethics,0.271
environmental fluid mechanics,1.603
environmental forensics,0.85
environmental geochemistry and health,2.616
environmental hazards-human and policy dimensions,1.025
environmental health,3.816
environmental health and preventive medicine,1.133
environmental health perspectives,9.776
environmental history,0.6
environmental impact assessment review,3.094
environmental management,1.878
environmental microbiology,5.395
environmental microbiology reports,3.363
environmental modeling & assessment,1.023
environmental modelling & software,4.404
environmental monitoring and assessment,1.687
environmental policy and governance,2.032
environmental politics,1.922
environmental pollution,5.099
environmental progress & sustainable energy,1.672
environmental research,3.835
environmental research letters,4.404
environmental reviews,3.196
environmental science & policy,3.751
environmental science & technology,6.198
environmental science & technology letters,5.308
environmental science and pollution research,2.741
environmental science-nano,6.047
environmental science-processes & impacts,2.592
environmental science-water research & technology,2.817
environmental technology,1.751
environmental toxicology,2.937
environmental toxicology and chemistry,2.951
environmental toxicology and pharmacology,2.313
environmental values,1.279
environmetrics,1.532
enzyme and microbial technology,2.502
epidemics,2.29
epidemiologia & prevenzione,1.966
epidemiologic reviews,7.16
epidemiologie mikrobiologie imunologie,0.5
epidemiology,5.986
epidemiology and infection,2.075
epidemiology and psychiatric sciences,4.246
epigenetics,4.394
epigenetics & chromatin,5.189
epigenomics,4.541
epilepsia,5.295
epilepsy & behavior,2.631
epilepsy currents,5.625
epilepsy research,2.367
epileptic disorders,1.168
episodes,1.188
epj data science,2.787
epl,1.957
e-polymers,0.949
equine veterinary education,0.698
equine veterinary journal,2.382
erde,0.675
erdkunde,0.923
ergodic theory and dynamical systems,0.937
ergonomics,1.818
ernahrungs umschau,0.216
erwerbs-obstbau,0.615
esa bulletin-european space agency,0.732
esaim-control optimisation and calculus of variations,1.54
esaim-mathematical modelling and numerical analysis-modelisation mathematique et analyse numerique,1.727
esaim-probability and statistics,0.474
esophagus,0.773
essays in biochemistry,2.227
estonian journal of earth sciences,1.053
estuaries and coasts,2.182
estuarine coastal and shelf science,2.176
estudios de economia,0.136
estudios de psicologia,0.281
estudios filologicos,0.05
estudios geologicos-madrid,0.452
ethical perspectives,0.162
ethics,1.341
ethics & behavior,0.762
ethics & global politics,0.368
ethics & international affairs,0.672
ethics and information technology,1.5
ethik in der medizin,0.618
ethiopian journal of health development,0.371
ethnic and racial studies,0.994
ethnicities,0.679
ethnicity & disease,0.993
ethnicity & health,1.904
ethnography,1.16
ethnohistory,0.246
ethnos,0.946
ethology,1.398
ethology ecology & evolution,1.582
ethos,0.881
etikk i praksis,0.087
etr&d-educational technology research and development,0.725
etri journal,1.116
eukaryotic cell,2.992
euphytica,1.626
eurasia journal of mathematics science and technology education,0.903
eurasian geography and economics,0.788
eurasian soil science,0.576
eurasip journal on advances in signal processing,1.961
eurasip journal on audio speech and music processing,1.579
eurasip journal on image and video processing,1.742
eurasip journal on wireless communications and networking,1.529
eure-revista latinoamericana de estudios urbano regionales,0.493
eurointervention,5.165
europace,4.53
european accounting review,2.107
european addiction research,2.592
european annals of otorhinolaryngology-head and neck diseases,1.108
european archives of oto-rhino-laryngology,1.66
european archives of psychiatry and clinical neuroscience,3.569
european biophysics journal with biophysics letters,1.472
european business organization law review,0.773
european cells & materials,3.343
european child & adolescent psychiatry,3.295
european constitutional law review,0.673
european cytokine network,2.364
european early childhood education research journal,0.792
european eating disorders review,3.391
european economic review,1.259
european financial management,1.236
european food research and technology,1.664
european geriatric medicine,1.336
european heart journal,19.651
european heart journal supplements,0.896
european heart journal-cardiovascular imaging,5.99
european history quarterly,0.341
european integration online papers-eiop,0.571
european journal for philosophy of science,0.818
european journal of ageing,1.177
european journal of agronomy,3.757
european journal of anaesthesiology,3.57
european journal of applied mathematics,0.761
european journal of applied physiology,2.13
european journal of cancer,6.029
european journal of cancer care,2.104
european journal of cancer prevention,2.556
european journal of cardio-thoracic surgery,3.759
european journal of cardiovascular nursing,2.763
european journal of cell biology,3.712
european journal of clinical investigation,2.714
european journal of clinical microbiology & infectious diseases,2.727
european journal of clinical nutrition,3.057
european journal of clinical pharmacology,2.902
european journal of combinatorics,0.786
european journal of communication,1.408
european journal of contraception and reproductive health care,1.627
european journal of control,1.944
european journal of criminology,1.359
european journal of cultural studies,1.244
european journal of dental education,1.053
european journal of dermatology,2.243
european journal of development research,1.11
european journal of developmental psychology,1.302
european journal of drug metabolism and pharmacokinetics,1.4
european journal of education,0.906
european journal of emergency medicine,2.025
european journal of endocrinology,4.101
european journal of english studies,0.048
european journal of entomology,1.167
european journal of environmental and civil engineering,0.897
european journal of epidemiology,7.226
european journal of finance,0.795
european journal of forest research,2.017
european journal of gastroenterology & hepatology,1.968
european journal of general practice,1.274
european journal of gynaecological oncology,0.692
european journal of haematology,2.653
european journal of health economics,2.5
european journal of heart failure,6.968
european journal of histochemistry,2.306
european journal of horticultural science,0.446
european journal of hospital pharmacy-science and practice,0.718
european journal of human genetics,4.287
european journal of immunology,4.227
european journal of industrial engineering,0.775
european journal of industrial relations,1.159
european journal of inflammation,0.719
european journal of information systems,2.819
european journal of inorganic chemistry,2.444
european journal of integrative medicine,0.801
european journal of internal medicine,2.96
european journal of international law,1.034
european journal of international management,0.575
european journal of international relations,2.277
european journal of law and economics,0.481
european journal of lipid science and technology,2.145
european journal of marketing,1.333
european journal of mass spectrometry,1.022
european journal of mechanics a-solids,2.846
european journal of mechanics b-fluids,1.969
european journal of medical genetics,2.137
european journal of medical research,1.414
european journal of medicinal chemistry,4.519
european journal of migration and law,0.909
european journal of mineralogy,1.362
european journal of neurology,3.988
european journal of neuroscience,2.941
european journal of nuclear medicine and molecular imaging,7.277
european journal of nutrition,4.37
european journal of obstetrics & gynecology and reproductive biology,1.666
european journal of oncology nursing,1.826
european journal of operational research,3.297
european journal of ophthalmology,1.192
european journal of oral implantology,3.567
european journal of oral sciences,1.54
european journal of organic chemistry,2.834
european journal of orthodontics,1.622
european journal of paediatric dentistry,0.683
european journal of paediatric neurology,2.013
european journal of pain,3.019
european journal of pediatric surgery,1.313
european journal of pediatrics,1.921
european journal of personality,3.707
european journal of pharmaceutical sciences,3.756
european journal of pharmaceutics and biopharmaceutics,4.159
european journal of pharmacology,2.896
european journal of phycology,2.412
european journal of physical and rehabilitation medicine,1.827
european journal of physics,0.614
european journal of plant pathology,1.478
european journal of political economy,1.098
european journal of political research,2.891
european journal of population,1.514
european journal of preventive cardiology,3.606
european journal of protistology,2.581
european journal of psychiatry,0.426
european journal of psychological assessment,2.328
european journal of psychology applied to legal context,2.286
european journal of psychology of education,1.556
european journal of psychotraumatology,3.278
european journal of public health,2.431
european journal of radiology,2.462
european journal of remote sensing,1.533
european journal of social psychology,1.973
european journal of social theory,1.278
european journal of social work,0.615
european journal of soil biology,2.445
european journal of soil science,3.475
european journal of special needs education,0.605
european journal of sport science,2.69
european journal of taxonomy,0.649
european journal of teacher education,0.695
european journal of the history of economic thought,0.325
european journal of transport and infrastructure research,0.619
european journal of trauma and emergency surgery,0.895
european journal of vascular and endovascular surgery,4.061
european journal of wildlife research,1.264
european journal of womens studies,1.132
european journal of wood and wood products,1.082
european journal of work and organizational psychology,2.3
european journal on criminal policy and research,1
european law journal,1.427
european law review,0.31
european management journal,2.481
european management review,1.333
european neurology,1.697
european neuropsychopharmacology,4.239
european physical education review,1.921
european physical journal a,2.833
european physical journal b,1.461
european physical journal c,5.331
european physical journal d,1.288
european physical journal e,1.464
european physical journal h,0.436
european physical journal plus,1.753
european physical journal-applied physics,0.684
european physical journal-special topics,1.862
european planning studies,1.332
european political science,1.292
european political science review,1.722
european polymer journal,3.531
european poultry science,0.379
european psychiatry,3.123
european psychologist,3.419
european radiology,3.967
european respiratory journal,10.569
european review,0.281
european review for medical and pharmacological sciences,1.778
european review of aging and physical activity,2.154
european review of agricultural economics,1.6
european review of applied psychology-revue europeenne de psychologie appliquee,0.667
european review of economic history,0.814
european review of social psychology,1.389
european societies,0.676
european sociological review,2.062
european spine journal,2.563
european sport management quarterly,1.778
european surgery-acta chirurgica austriaca,0.287
european surgical research,1.382
european transport research review,0.962
european union politics,2.052
european urban and regional studies,2.077
european urology,16.265
european urology supplements,3.462
europe-asia studies,0.731
eurosurveillance,7.202
evaluation,1.362
evaluation & the health professions,1.306
evaluation and program planning,1.137
evaluation review,1.293
evidence & policy,0.907
evidence-based complementary and alternative medicine,1.74
evodevo,2.818
evolution,4.201
evolution & development,2.243
evolution and human behavior,3.383
evolution equations and control theory,0.826
evolution psychiatrique,0.327
evolutionary anthropology,3.733
evolutionary applications,5.671
evolutionary bioinformatics,1.5
evolutionary biology,2.084
evolutionary computation,3.826
evolutionary ecology,1.818
evolutionary ecology research,0.837
evolutionary psychology,1.243
exceptional children,2.296
exceptionality,0.414
excli journal,1.462
exercise and sport sciences reviews,4.431
exercise immunology review,7.6
experimental aging research,1.345
experimental agriculture,1.068
experimental and applied acarology,1.76
experimental and clinical endocrinology & diabetes,1.685
experimental and clinical psychopharmacology,2.186
experimental and clinical transplantation,0.535
experimental and molecular medicine,5.063
experimental and molecular pathology,2.423
experimental and therapeutic medicine,1.261
experimental and toxicologic pathology,1.975
experimental animals,1.374
experimental astronomy,2.313
experimental biology and medicine,2.688
experimental brain research,1.917
experimental cell research,3.546
experimental dermatology,2.679
experimental economics,2.391
experimental eye research,3.332
experimental gerontology,3.34
experimental heat transfer,1.522
experimental hematology,2.82
experimental lung research,1.394
experimental mathematics,0.538
experimental mechanics,2.091
experimental neurology,4.706
experimental parasitology,1.724
experimental physiology,2.912
experimental psychology,1.829
experimental techniques,0.932
experimental thermal and fluid science,2.83
experiments in fluids,1.832
expert opinion on biological therapy,3.684
expert opinion on drug delivery,5.657
expert opinion on drug discovery,3.876
expert opinion on drug metabolism & toxicology,3.027
expert opinion on drug safety,3.439
expert opinion on emerging drugs,3.062
expert opinion on investigational drugs,4.03
expert opinion on orphan drugs,0.559
expert opinion on pharmacotherapy,3.894
expert opinion on therapeutic patents,3.041
expert opinion on therapeutic targets,4.873
expert review of anticancer therapy,2.212
expert review of anti-infective therapy,3.139
expert review of clinical immunology,3.27
expert review of clinical pharmacology,2.932
expert review of gastroenterology & hepatology,2.743
expert review of hematology,2.246
expert review of medical devices,2.228
expert review of molecular diagnostics,3.1
expert review of neurotherapeutics,3.149
expert review of pharmacoeconomics & outcomes research,1.78
expert review of proteomics,3.849
expert review of respiratory medicine,2.432
expert review of vaccines,3.555
expert reviews in molecular medicine,4.405
expert systems,1.18
expert systems with applications,3.928
exploration geophysics,1.027
explorations in economic history,0.979
explore-the journal of science and healing,1.363
expositiones mathematicae,0.667
express polymer letters,2.983
extremes,1.679
extremophiles,2.236
eye,2.275
eye & contact lens-science and clinical practice,1.372
facial plastic surgery,0.761
facial plastic surgery clinics of north america,1.568
facies,1.576
familial cancer,1.66
families in society-the journal of contemporary social services,0.444
families relationships and societies,0.362
families systems & health,1.219
family & community health,1.017
family business review,4.229
family law quarterly,0.362
family medicine,1.203
family practice,1.804
family process,2.421
family relations,1.426
faraday discussions,3.588
farmacia,1.348
faseb journal,5.498
fatigue & fracture of engineering materials & structures,2.335
febs journal,3.902
febs letters,3.623
febs open bio,2.143
federal reserve bank of st louis review,0.429
female pelvic medicine and reconstructive surgery,1.325
feminism & psychology,0.757
feminist criminology,0.97
feminist economics,1.476
feminist legal studies,1.13
feminist review,1.519
feminist studies,0.353
feminist theory,1.114
feministische studien,0.107
fems microbiology ecology,3.72
fems microbiology letters,1.765
fems microbiology reviews,12.198
fems yeast research,3.299
ferroelectrics,0.551
ferroelectrics letters section,0.267
fertility and sterility,4.373
fetal and pediatric pathology,0.613
fetal diagnosis and therapy,2.699
few-body systems,0.877
fiber and integrated optics,0.479
fibers and polymers,1.113
fibre chemistry,0.261
fibres & textiles in eastern europe,0.626
field crops research,3.048
field methods,1.346
filomat,0.695
filosofija-sociologija,0.686
filtration & separation,0.064
finance a uver-czech journal of economics and finance,0.604
finance and stochastics,1.55
finance research letters,0.762
financial analysts journal,0.795
financial management,1.517
finanzarchiv,0.261
finite elements in analysis and design,2.161
finite fields and their applications,0.813
fire and materials,1.352
fire ecology,1.359
fire safety journal,1.165
fire technology,1.471
first language,1.196
fiscal studies,1.044
fish & shellfish immunology,3.148
fish and fisheries,9.013
fish pathology,0.673
fish physiology and biochemistry,1.647
fisheries,3
fisheries management and ecology,1.327
fisheries oceanography,1.578
fisheries research,2.185
fisheries science,0.839
fishery bulletin,0.879
fitoterapia,2.698
fixed point theory,0.462
flavour and fragrance journal,1.644
fleischwirtschaft,0.172
flexible services and manufacturing journal,1.98
flora,1.125
florida entomologist,0.964
flow measurement and instrumentation,1.203
flow turbulence and combustion,1.775
fluctuation and noise letters,0.972
fluid dynamics,0.509
fluid dynamics research,0.677
fluid phase equilibria,2.473
fluoride,1.342
fly,0.922
focus on autism and other developmental disabilities,0.732
folia biologica,0.939
folia biologica-krakow,0.581
folia geobotanica,1.017
folia histochemica et cytobiologica,1.389
folia horticulturae,0.359
folia linguistica,0.312
folia linguistica historica,0.294
folia microbiologica,1.521
folia morphologica,0.341
folia neuropathologica,1.093
folia parasitologica,1.082
folia phoniatrica et logopaedica,0.417
folia primatologica,0.737
folia zoologica,0.739
food & function,3.247
food & nutrition research,2.039
food additives & contaminants part b-surveillance,1.723
food additives and contaminants part a-chemistry analysis control exposure & risk assessment,2.047
food analytical methods,2.038
food and agricultural immunology,1.392
food and bioprocess technology,2.576
food and bioproducts processing,1.97
food and chemical toxicology,3.778
food and drug law journal,0.66
food and environmental virology,1.847
food and nutrition bulletin,1.648
food australia,0.026
food biophysics,1.704
food bioscience,1.964
food biotechnology,0.564
food chemistry,4.529
food control,3.496
food culture & society,0.516
food engineering reviews,3.571
food hydrocolloids,4.747
food hygiene and safety science,0.312
food microbiology,3.759
food policy,3.086
food quality and preference,3.199
food research international,3.086
food reviews international,2
food science and biotechnology,0.699
food science and technology,0.833
food science and technology international,0.991
food science and technology research,0.459
food security,2.271
food technology,0.233
food technology and biotechnology,0.891
foodborne pathogens and disease,2.12
foot & ankle international,1.872
foot and ankle clinics,0.979
foot and ankle surgery,1.348
forbes,2.151
fordham law review,1.369
foreign affairs,2.536
foreign language annals,0.756
foreign policy analysis,0.841
forensic science international,1.989
forensic science international-genetics,3.911
forensic science medicine and pathology,1.842
forensic toxicology,3.744
forest ecology and management,3.064
forest pathology,1.547
forest policy and economics,1.982
forest products journal,0.614
forest science,1.782
forest systems,0.893
forestry,2.232
forestry chronicle,0.658
forests,1.951
forktail,0.064
formal aspects of computing,1.041
formal methods in system design,1
forschende komplementarmedizin,0.865
forschung im ingenieurwesen-engineering research,0.185
fortschritte der neurologie psychiatrie,0.633
fortschritte der physik-progress of physics,2.434
forum der psychoanalyse,0.28
forum mathematicum,0.755
forum-a journal of applied research in contemporary politics,0.397
fossil record,1.25
fottea,1.35
foundations and trends in information retrieval,3.5
foundations of chemistry,0.647
foundations of computational mathematics,2.829
foundations of physics,1.067
foundations of science,0.727
fourrages,0.277
fractals-complex geometry patterns and scaling in nature and society,1.54
fractional calculus and applied analysis,2.034
free radical biology and medicine,5.606
free radical research,3.188
french cultural studies,0.074
french history,0.271
frequenz,0.462
fresenius environmental bulletin,0.425
freshwater biology,3.255
freshwater science,2.197
friction,1.508
frontiers in aging neuroscience,4.504
frontiers in behavioral neuroscience,3.104
frontiers in bioscience-landmark,2.497
frontiers in cellular and infection microbiology,4.3
frontiers in cellular neuroscience,4.555
frontiers in chemistry,3.994
frontiers in computational neuroscience,1.821
frontiers in ecology and the environment,8.039
frontiers in endocrinology,3.675
frontiers in genetics,3.789
frontiers in human neuroscience,3.209
frontiers in immunology,6.429
frontiers in life science,0.933
frontiers in microbiology,4.076
frontiers in molecular neuroscience,5.076
frontiers in neural circuits,3.005
frontiers in neuroanatomy,3.267
frontiers in neuroendocrinology,9.425
frontiers in neuroinformatics,3.87
frontiers in neurology,3.552
frontiers in neurorobotics,2.486
frontiers in neuroscience,3.566
frontiers in pediatrics,2.172
frontiers in pharmacology,4.4
frontiers in physiology,4.134
frontiers in plant science,4.298
frontiers in psychiatry,3.532
frontiers in psychology,2.323
frontiers in zoology,2.781
frontiers of biology,科技核心
frontiers of chemical science and engineering,1.712
frontiers of computer science,1.039
frontiers of earth science,1.051
frontiers of environmental science & engineering,1.716
frontiers of hormone research,2.279
frontiers of information technology & electronic engineering,0.622
frontiers of materials science,1.471
frontiers of mathematics in china,0.333
frontiers of medicine,1.634
frontiers of optoelectronics in china,科技核心
frontiers of physics,2.579
frontiers of structural and civil engineering,科技核心
frontiers-a journal of women studies,0.379
fruits,0.634
fuel,4.601
fuel cells,1.706
fuel processing technology,3.752
fujitsu scientific & technical journal,0.191
fullerenes nanotubes and carbon nanostructures,1.35
functional & integrative genomics,3.496
functional analysis and its applications,0.45
functional ecology,5.63
functional materials letters,1.234
functional plant biology,2.121
functions of language,0.476
fundamenta informaticae,0.687
fundamenta mathematicae,0.609
fundamental & clinical pharmacology,2.319
fundamental and applied limnology,1.17
fungal biology,2.184
fungal biology reviews,3.231
fungal diversity,13.465
fungal ecology,3.219
fungal genetics and biology,3.072
funkcialaj ekvacioj-serio internacia,0.394
fusion engineering and design,1.319
fusion science and technology,0.578
future generation computer systems-the international journal of escience,3.997
future medicinal chemistry,3.556
future microbiology,3.374
future of children,2.583
future oncology,2.131
future virology,0.958
futures,1.802
futurist,0.206
fuzzy optimization and decision making,1.681
fuzzy sets and systems,2.718
g3-genes genomes genetics,2.861
gaceta medica de mexico,0.312
gaceta sanitaria,1.768
gaia-ecological perspectives for science and society,1.575
gait & posture,2.347
games and culture,1.109
games and economic behavior,0.904
games for health journal,2.019
gastric cancer,5.454
gastroenterologia y hepatologia,0.917
gastroenterology,18.392
gastroenterology clinics of north america,2.936
gastroenterology nursing,0.671
gastroenterology research and practice,1.863
gastrointestinal endoscopy,6.501
gayana,0.553
gayana botanica,0.329
geburtshilfe und frauenheilkunde,1.07
gedrag & organisatie,0.5
gefahrstoffe reinhaltung der luft,0.236
gematologiya i transfuziologiya,0.133
gems & gemology,0.793
gender & society,2.765
gender and education,0.639
gender and language,0.406
gender place and culture,1.605
gender work and organization,1.548
gene,2.415
gene expression patterns,1.158
gene therapy,3.11
general and comparative endocrinology,2.585
general hospital psychiatry,2.279
general physiology and biophysics,1.17
general relativity and gravitation,1.618
generations-journal of the american society on aging,0.306
genes,3.6
genes & development,9.413
genes & genetic systems,0.703
genes & genomics,0.566
genes and immunity,2.524
genes and nutrition,2.797
genes brain and behavior,3.743
genes chromosomes & cancer,3.696
genes to cells,1.993
genesis,2.143
genetic counseling,0.236
genetic epidemiology,1.884
genetic programming and evolvable machines,1.514
genetic resources and crop evolution,1.294
genetic testing and molecular biomarkers,1.263
genetica,1.207
genetics,4.556
genetics and molecular biology,1.147
genetics in medicine,8.229
genetics research,0.917
genetics selection evolution,2.964
genetika-belgrade,0.351
geneva papers on risk and insurance-issues and practice,0.303
geneva risk and insurance review,0.556
genome,1.755
genome biology,11.908
genome biology and evolution,3.979
genome medicine,7.071
genome research,11.922
genomics,2.801
genomics proteomics & bioinformatics,科技核心
geoarabia,1.256
geoarchaeology-an international journal,1.763
geobiology,3.462
geobios,1.431
geocarto international,1.646
geochemical journal,0.991
geochemical perspectives,6.75
geochemical transactions,1.71
geochemistry geophysics geosystems,3.201
geochemistry international,0.622
geochemistry-exploration environment analysis,2.017
geochimica et cosmochimica acta,4.609
geochronometria,1.426
geoderma,4.036
geodetski vestnik,0.234
geodinamica acta,2.611
geodiversitas,1.394
geofisica internacional,0.508
geofizika,0.348
geofluids,2.687
geoforum,2.067
geografia fisica e dinamica quaternaria,0.938
geografie,0.58
geografisk tidsskrift-danish journal of geography,0.963
geografiska annaler series a-physical geography,1.302
geografiska annaler series b-human geography,0.811
geographical analysis,1.905
geographical journal,3.132
geographical research,1.677
geographical review,0.864
geography,0.78
geoheritage,1.472
geoinformatica,2.392
geologia croatica,0.595
geologica acta,0.86
geologica belgica,0.739
geologica carpathica,1.358
geological journal,2.978
geological magazine,1.965
geological quarterly,1.129
geological society of america bulletin,4.212
geological survey of denmark and greenland bulletin,0.4
geology,4.635
geology of ore deposits,0.511
geomagnetism and aeronomy,0.482
geo-marine letters,1.716
geomatics natural hazards & risk,1.71
geomechanics and engineering,1.107
geometriae dedicata,0.609
geometric and functional analysis,1.48
geometry & topology,1.187
geomicrobiology journal,1.485
geomorphologie-relief processus environnement,0.478
geomorphology,2.958
geophysical and astrophysical fluid dynamics,0.85
geophysical journal international,2.414
geophysical prospecting,1.846
geophysical research letters,4.253
geophysics,2.391
geopolitics,1.112
george washington law review,1.191
georgetown law journal,2.347
georgian mathematical journal,0.29
geoscience canada,1.227
geoscience data journal,2.8
geoscience frontiers,4.256
geosciences journal,1.095
geoscientific instrumentation methods and data systems,1.023
geoscientific model development,3.458
geospatial health,1.812
geosphere,2.304
geostandards and geoanalytical research,3.422
geosynthetics international,2.603
geotechnical testing journal,0.806
geotechnique,2.395
geotechnique letters,1.286
geotectonics,0.968
geotextiles and geomembranes,2.87
geothermics,2.553
geriatric nursing,1.142
geriatrics & gerontology international,2.351
geriatrie et psychologie neuropsychiatrie de vieillissement,0.346
german economic review,0.72
german history,0.382
german journal of agricultural economics,0.592
german politics,0.789
german studies review,0.413
gerodontology,1.681
gerontologist,3.505
gerontology,4.252
gestion y politica publica,0.324
gesture,0.733
gesunde pflanzen,0.378
gesundheitswesen,0.538
gff,1.142
gifted child quarterly,1.372
gigascience,6.871
ginekologia polska,0.576
giornale italiano di dermatologia e venereologia,1.311
giscience & remote sensing,3.049
glasgow mathematical journal,0.358
glasnik matematicki,0.328
glass and ceramics,0.655
glass physics and chemistry,0.538
glass technology-european journal of glass science and technology part a,0.4
glia,6.2
global and planetary change,3.915
global biogeochemical cycles,4.655
global change biology,8.502
global change biology bioenergy,4.655
global ecology and biogeography,6.045
global economic review,0.409
global environmental change-human and policy dimensions,6.327
global environmental politics,2.036
global food security-agriculture policy economics and environment,3.527
global governance,0.896
global health action,1.794
global health promotion,1.442
global nest journal,0.665
global networks-a journal of transnational affairs,1.359
global policy,0.861
global public health,1.614
global strategy journal,2
globalization and health,2.536
globalizations,0.926
glq-a journal of lesbian and gay studies,0.861
glycobiology,3.112
glycoconjugate journal,2.186
gold bulletin,1.638
gondwana research,6.959
gorteria,0.296
gospodarka surowcami mineralnymi-mineral resources management,0.481
governance-an international journal of policy administration and institutions,2.603
government and opposition,0.852
government information quarterly,4.09
gps solutions,4.061
gradevinar,0.323
graefes archive for clinical and experimental ophthalmology,2.349
grana,1.085
granular matter,1.762
graphical models,1.188
graphs and combinatorics,0.441
grasas y aceites,0.91
grass and forage science,1.457
grassland science,0.734
gravitation & cosmology,0.734
green chemistry,9.125
green chemistry letters and reviews,1.729
green materials,1.579
green processing and synthesis,0.782
greenhouse gases-science and technology,1.676
ground water monitoring and remediation,1.55
groundwater,2.067
group & organization management,1.846
group decision and negotiation,1.688
group dynamics-theory research and practice,1.073
group processes & intergroup relations,1.743
groups geometry and dynamics,0.833
growth and change,0.561
growth factors,1.644
growth hormone & igf research,1.828
grundwasser,0.514
gruppenpsychotherapie und gruppendynamik,0.844
gut,16.658
gut and liver,2.663
gut pathogens,2.756
gynecologic and obstetric investigation,1.415
gynecologic oncology,4.959
gynecological endocrinology,1.585
gynecologie obstetrique & fertilite,0.429
habitat international,2.285
hacettepe journal of mathematics and statistics,0.415
hacienda publica espanola-review of public economics,0.333
haematologica,7.702
haemophilia,3.569
hague journal on the rule of law,0.577
hahr-hispanic american historical review,0.517
hamostaseologie,1.828
hand clinics,0.904
handchirurgie mikrochirurgie plastische chirurgie,0.7
harm reduction journal,1.88
harmful algae,3.087
harvard business review,3.227
harvard civil rights-civil liberties law review,1.185
harvard educational review,2.674
harvard environmental law review,1
harvard international law journal,2.632
harvard journal of law and public policy,0.783
harvard journal on legislation,0.862
harvard law review,3.477
harvard review of psychiatry,2.986
haseltonia,0.467
hastings center report,1.345
hastings law journal,0.685
hautarzt,0.661
head & face medicine,1.37
head and neck-journal for the sciences and specialties of the head and neck,3.376
headache,2.816
health,0.986
health & place,2.541
health & social care in the community,2.047
health & social work,1
health affairs,4.98
health and human rights,1.51
health and quality of life outcomes,2.143
health care analysis,0.82
health care for women international,1.2
health care management review,1.921
health care management science,1.419
health communication,1.487
health economics,2.301
health economics policy and law,1.675
health education & behavior,1.808
health education journal,0.845
health education research,1.816
health expectations,1.669
health informatics journal,3.021
health information and libraries journal,0.875
health information management journal,0.778
health physics,1.276
health policy,2.119
health policy and planning,2.368
health policy and technology,1.167
health promotion and chronic disease prevention in canada-research policy and practice,0.5
health promotion international,1.722
health promotion journal of australia,1.097
health psychology,3.458
health psychology review,7.241
health reports,2.479
health research policy and systems,2.271
health risk & society,2.262
health security,1.088
health services research,3.089
health sociology review,0.913
health technology assessment,4.236
hearing research,2.906
heart,6.059
heart & lung,1.657
heart and vessels,3.434
heart failure clinics,2.124
heart failure reviews,3.481
heart lung and circulation,2.028
heart rhythm,4.866
heart surgery forum,0.355
heat and mass transfer,1.233
heat transfer engineering,1.235
heat transfer research,0.868
helgoland marine research,1.013
helicobacter,3.429
hellenic journal of cardiology,1.343
hellenic journal of nuclear medicine,1.048
helminthologia,0.472
helvetica chimica acta,1.071
hematological oncology,3.118
hematology,1.244
hematology-american society of hematology education program,2.016
hematology-oncology clinics of north america,3.226
hemijska industrija,0.459
hemodialysis international,1.353
hemoglobin,0.77
hepatitis monthly,1.677
hepatobiliary & pancreatic diseases international,1.649
hepatology,13.246
hepatology international,2.164
hepatology research,2.602
herald of the russian academy of sciences,0.44
herd-health environments research & design journal,1
hereditary cancer in clinical practice,1.59
hereditas,1.345
heredity,3.961
hernia,1.932
heroin addiction and related clinical problems,0.6
herpetologica,1.333
herpetological conservation and biology,0.701
herpetological journal,0.896
herpetological monographs,2.5
herpetozoa,1.194
herz,0.776
herzogia,0.74
heteroatom chemistry,1.221
heterocycles,0.805
heterocyclic communications,0.542
hidrobiologica,0.228
high ability studies,1.13
high altitude medicine & biology,1.705
high energy chemistry,0.721
high energy density physics,0.908
high performance polymers,1.179
high pressure research,1.059
high temperature,1.11
high temperature materials and processes,0.312
high temperatures-high pressures,0.408
higher education,1.571
higher education policy,0.727
higher education research & development,1.206
himalayan geology,0.214
hip international,1.055
hippocampus,3.945
hippokratia,0.467
hiroshima mathematical journal,0.455
hispania-a journal devoted to the teaching of spanish and portuguese,0.147
hispanic journal of behavioral sciences,0.603
